file_name,LENGTH_CENTRE,WIDTH_CENTRE,LENGTH_MINMAX,WIDTH_MINMAX,FIN_AREA,BODY_AREA,EYE_AREA,year,month,location,sample_index,sex
A2_Y14_M1_DSC_7613,17.61,4.215,17.61,4.29,29.78685,55.7298,2.4624,14,1,L,2,M
A2_Y5_M7_DSC_0172,16.9455,3.627,17.4915,4.017,26.97835725,51.36835275,2.71232325,5,7,C,2,M
A2_Y14_M1_DSC_7174,15.21,3.0749999999999997,15.42,3.3,18.5319,37.588275,2.21895,14,1,C,2,F
A3_Y12_M1_DSC_8541,18.22,4.18,18.52,4.26,28.3152,58.4868,2.4944,12,1,U,3,M
A1_Y1_M7_DSC_3761,17.712,3.731,18.0605,3.7515,23.358755750000004,50.439245500000006,2.3601240000000003,1,7,L,1,F
A2_Y6_M1_DSC_0119,15.366,3.2175,15.3855,3.3735,20.302308,38.60716275,2.0358585,6,1,C,2,F
A3_Y6_M1_DSC_0063,18.86,4.24,19.14,4.5,28.936,60.5172,2.6408,6,1,C,3,F
A2_Y12_M1_DSC_5931,21.4005,5.5275,21.9615,5.6265,19.62132975,84.02860125000001,3.0881317500000005,12,1,L,2,F
A1_Y5_M1_DSC_1454,16.548000000000002,3.507,16.821,3.5700000000000003,23.432535,46.289565,2.184714,5,1,T,1,F
A1_Y2_M7_DSC_2770,20.416,4.707999999999999,20.548,4.862,31.475971999999995,71.86141599999999,2.667324,2,7,T,1,F
A2_Y15_M7_DSC_4594,17.712,4.05,18.953999999999997,4.572,33.145847999999994,61.65298799999999,2.7556199999999995,15,7,C,2,M
A3_Y5_M7_DSC_0196,22.035,5.148,22.0545,5.2065,37.183887,82.5575985,3.83634225,5,7,L,3,F
A1_Y7_M7_DSC_7202,17.982,4.4955,18.738,4.7115,35.34246675,62.6768685,2.6085442499999996,7,7,T,1,M
A2_Y5_M1_DSC_1730,16.821,3.675,17.304000000000002,3.99,25.447023,49.267638000000005,2.760219,5,1,L,2,F
A1_Y10_M1_DSC_3179,18.0525,4.0745000000000005,18.2845,4.2485,22.1422685,55.83209775,2.529728,10,1,L,1,F
A2_Y2_M1_DSC_1640,15.645,3.528,16.212,3.633,16.845318000000002,42.723198,2.317896,2,1,C,2,F
A3_Y8_M7_DSC_6458,17.82,3.969,18.306,4.05,24.385779,54.150848999999994,2.556603,8,7,C,3,F
A2_Y2_M1_DSC_2188,17.85,4.347,18.774,4.662,26.268165000000003,61.57506600000001,2.670255,2,1,U,2,F
A2_Y14_M1_DSC_8279,23.5625,5.6115,23.9975,5.6695,36.545865250000006,99.391062,4.499980750000001,14,1,U,2,F
A2_Y6_M1_DSC_0245,20.9,4.92,21.3,5.16,30.7892,78.476,2.7656,6,1,T,2,F
A3_Y7_M1_DSC_0004,18.962,4.598,19.456,4.788,31.477395,64.205294,3.015794,7,1,U,3,F
A2_Y15_M1_DSC_3771,26.432,5.936,27.132,6.09,44.74876,126.054852,4.053672000000001,15,1,U,2,F
